method,class_id,prompt,seed,ratio,beta,image_path,time_sec,peak_mem_gb
full,46,a photo of a green lizard,0,0.0,0.0,generated/full/class_0046_seed0_a_photo_of_a_green_lizard.png,4.3962,6.1226
full,46,a photo of a green lizard,1,0.0,0.0,generated/full/class_0046_seed1_a_photo_of_a_green_lizard.png,4.4045,6.1226
full,47,a photo of a African chameleon,0,0.0,0.0,generated/full/class_0047_seed0_a_photo_of_a_African_chameleon.png,4.4015,6.1226
full,47,a photo of a African chameleon,1,0.0,0.0,generated/full/class_0047_seed1_a_photo_of_a_African_chameleon.png,4.3989,6.1226
full,48,a photo of a Komodo dragon,0,0.0,0.0,generated/full/class_0048_seed0_a_photo_of_a_Komodo_dragon.png,4.3975,6.1226
full,48,a photo of a Komodo dragon,1,0.0,0.0,generated/full/class_0048_seed1_a_photo_of_a_Komodo_dragon.png,4.4038,6.1226
full,49,a photo of a African crocodile,0,0.0,0.0,generated/full/class_0049_seed0_a_photo_of_a_African_crocodile.png,4.3952,6.1226
full,49,a photo of a African crocodile,1,0.0,0.0,generated/full/class_0049_seed1_a_photo_of_a_African_crocodile.png,4.3914,6.1226
full,50,a photo of a American alligator,0,0.0,0.0,generated/full/class_0050_seed0_a_photo_of_a_American_alligator.png,4.4124,6.1226
full,50,a photo of a American alligator,1,0.0,0.0,generated/full/class_0050_seed1_a_photo_of_a_American_alligator.png,4.4020,6.1226
full,51,a photo of a triceratops,0,0.0,0.0,generated/full/class_0051_seed0_a_photo_of_a_triceratops.png,4.3975,6.1226
full,51,a photo of a triceratops,1,0.0,0.0,generated/full/class_0051_seed1_a_photo_of_a_triceratops.png,4.3973,6.1226
full,52,a photo of a thunder snake,0,0.0,0.0,generated/full/class_0052_seed0_a_photo_of_a_thunder_snake.png,4.4016,6.1226
full,52,a photo of a thunder snake,1,0.0,0.0,generated/full/class_0052_seed1_a_photo_of_a_thunder_snake.png,4.4019,6.1226
full,53,a photo of a ringneck snake,0,0.0,0.0,generated/full/class_0053_seed0_a_photo_of_a_ringneck_snake.png,4.4006,6.1226
full,53,a photo of a ringneck snake,1,0.0,0.0,generated/full/class_0053_seed1_a_photo_of_a_ringneck_snake.png,4.4054,6.1226
full,54,a photo of a hognose snake,0,0.0,0.0,generated/full/class_0054_seed0_a_photo_of_a_hognose_snake.png,4.3976,6.1226
full,54,a photo of a hognose snake,1,0.0,0.0,generated/full/class_0054_seed1_a_photo_of_a_hognose_snake.png,4.3997,6.1226
full,55,a photo of a green snake,0,0.0,0.0,generated/full/class_0055_seed0_a_photo_of_a_green_snake.png,4.3976,6.1226
full,55,a photo of a green snake,1,0.0,0.0,generated/full/class_0055_seed1_a_photo_of_a_green_snake.png,4.3980,6.1226
full,56,a photo of a king snake,0,0.0,0.0,generated/full/class_0056_seed0_a_photo_of_a_king_snake.png,4.3983,6.1226
full,56,a photo of a king snake,1,0.0,0.0,generated/full/class_0056_seed1_a_photo_of_a_king_snake.png,4.3997,6.1226
full,57,a photo of a garter snake,0,0.0,0.0,generated/full/class_0057_seed0_a_photo_of_a_garter_snake.png,4.3970,6.1226
full,57,a photo of a garter snake,1,0.0,0.0,generated/full/class_0057_seed1_a_photo_of_a_garter_snake.png,4.3996,6.1226
full,58,a photo of a water snake,0,0.0,0.0,generated/full/class_0058_seed0_a_photo_of_a_water_snake.png,4.3992,6.1226
full,58,a photo of a water snake,1,0.0,0.0,generated/full/class_0058_seed1_a_photo_of_a_water_snake.png,4.4000,6.1226
full,59,a photo of a vine snake,0,0.0,0.0,generated/full/class_0059_seed0_a_photo_of_a_vine_snake.png,4.4020,6.1226
full,59,a photo of a vine snake,1,0.0,0.0,generated/full/class_0059_seed1_a_photo_of_a_vine_snake.png,4.3986,6.1226
full,60,a photo of a night snake,0,0.0,0.0,generated/full/class_0060_seed0_a_photo_of_a_night_snake.png,4.3962,6.1226
full,60,a photo of a night snake,1,0.0,0.0,generated/full/class_0060_seed1_a_photo_of_a_night_snake.png,4.3984,6.1226
full,61,a photo of a boa constrictor,0,0.0,0.0,generated/full/class_0061_seed0_a_photo_of_a_boa_constrictor.png,4.3952,6.1226
full,61,a photo of a boa constrictor,1,0.0,0.0,generated/full/class_0061_seed1_a_photo_of_a_boa_constrictor.png,4.4016,6.1226
full,62,a photo of a rock python,0,0.0,0.0,generated/full/class_0062_seed0_a_photo_of_a_rock_python.png,4.4042,6.1226
full,62,a photo of a rock python,1,0.0,0.0,generated/full/class_0062_seed1_a_photo_of_a_rock_python.png,4.4041,6.1226
full,63,a photo of a Indian cobra,0,0.0,0.0,generated/full/class_0063_seed0_a_photo_of_a_Indian_cobra.png,4.3985,6.1226
full,63,a photo of a Indian cobra,1,0.0,0.0,generated/full/class_0063_seed1_a_photo_of_a_Indian_cobra.png,4.4008,6.1226
full,64,a photo of a green mamba,0,0.0,0.0,generated/full/class_0064_seed0_a_photo_of_a_green_mamba.png,4.4012,6.1226
full,64,a photo of a green mamba,1,0.0,0.0,generated/full/class_0064_seed1_a_photo_of_a_green_mamba.png,4.3909,6.1226
full,65,a photo of a sea snake,0,0.0,0.0,generated/full/class_0065_seed0_a_photo_of_a_sea_snake.png,4.4002,6.1226
full,65,a photo of a sea snake,1,0.0,0.0,generated/full/class_0065_seed1_a_photo_of_a_sea_snake.png,4.4051,6.1226
full,66,a photo of a horned viper,0,0.0,0.0,generated/full/class_0066_seed0_a_photo_of_a_horned_viper.png,4.3958,6.1226
full,66,a photo of a horned viper,1,0.0,0.0,generated/full/class_0066_seed1_a_photo_of_a_horned_viper.png,4.4055,6.1226
full,67,a photo of a diamondback,0,0.0,0.0,generated/full/class_0067_seed0_a_photo_of_a_diamondback.png,4.3963,6.1226
full,67,a photo of a diamondback,1,0.0,0.0,generated/full/class_0067_seed1_a_photo_of_a_diamondback.png,4.4035,6.1226
full,68,a photo of a sidewinder,0,0.0,0.0,generated/full/class_0068_seed0_a_photo_of_a_sidewinder.png,4.3962,6.1226
full,68,a photo of a sidewinder,1,0.0,0.0,generated/full/class_0068_seed1_a_photo_of_a_sidewinder.png,4.4011,6.1226
full,69,a photo of a trilobite,0,0.0,0.0,generated/full/class_0069_seed0_a_photo_of_a_trilobite.png,4.4032,6.1226
full,69,a photo of a trilobite,1,0.0,0.0,generated/full/class_0069_seed1_a_photo_of_a_trilobite.png,4.4014,6.1226
full,70,a photo of a harvestman,0,0.0,0.0,generated/full/class_0070_seed0_a_photo_of_a_harvestman.png,4.3999,6.1226
full,70,a photo of a harvestman,1,0.0,0.0,generated/full/class_0070_seed1_a_photo_of_a_harvestman.png,4.4045,6.1226
full,71,a photo of a scorpion,0,0.0,0.0,generated/full/class_0071_seed0_a_photo_of_a_scorpion.png,4.4052,6.1226
full,71,a photo of a scorpion,1,0.0,0.0,generated/full/class_0071_seed1_a_photo_of_a_scorpion.png,4.3950,6.1226
full,72,a photo of a black and gold garden spider,0,0.0,0.0,generated/full/class_0072_seed0_a_photo_of_a_black_and_gold_garden_spider.png,4.3992,6.1226
full,72,a photo of a black and gold garden spider,1,0.0,0.0,generated/full/class_0072_seed1_a_photo_of_a_black_and_gold_garden_spider.png,4.3982,6.1226
full,73,a photo of a barn spider,0,0.0,0.0,generated/full/class_0073_seed0_a_photo_of_a_barn_spider.png,4.3823,6.1226
full,73,a photo of a barn spider,1,0.0,0.0,generated/full/class_0073_seed1_a_photo_of_a_barn_spider.png,4.2939,6.1226
full,74,a photo of a garden spider,0,0.0,0.0,generated/full/class_0074_seed0_a_photo_of_a_garden_spider.png,4.3051,6.1226
full,74,a photo of a garden spider,1,0.0,0.0,generated/full/class_0074_seed1_a_photo_of_a_garden_spider.png,4.2996,6.1226
full,75,a photo of a black widow,0,0.0,0.0,generated/full/class_0075_seed0_a_photo_of_a_black_widow.png,4.3019,6.1226
full,75,a photo of a black widow,1,0.0,0.0,generated/full/class_0075_seed1_a_photo_of_a_black_widow.png,4.2944,6.1226
full,76,a photo of a tarantula,0,0.0,0.0,generated/full/class_0076_seed0_a_photo_of_a_tarantula.png,4.3010,6.1226
full,76,a photo of a tarantula,1,0.0,0.0,generated/full/class_0076_seed1_a_photo_of_a_tarantula.png,4.2974,6.1226
full,77,a photo of a wolf spider,0,0.0,0.0,generated/full/class_0077_seed0_a_photo_of_a_wolf_spider.png,4.3047,6.1226
full,77,a photo of a wolf spider,1,0.0,0.0,generated/full/class_0077_seed1_a_photo_of_a_wolf_spider.png,4.3015,6.1226
full,78,a photo of a tick,0,0.0,0.0,generated/full/class_0078_seed0_a_photo_of_a_tick.png,4.3075,6.1226
full,78,a photo of a tick,1,0.0,0.0,generated/full/class_0078_seed1_a_photo_of_a_tick.png,4.3018,6.1226
full,79,a photo of a centipede,0,0.0,0.0,generated/full/class_0079_seed0_a_photo_of_a_centipede.png,4.3006,6.1226
full,79,a photo of a centipede,1,0.0,0.0,generated/full/class_0079_seed1_a_photo_of_a_centipede.png,4.3063,6.1226
full,80,a photo of a black grouse,0,0.0,0.0,generated/full/class_0080_seed0_a_photo_of_a_black_grouse.png,4.3036,6.1226
full,80,a photo of a black grouse,1,0.0,0.0,generated/full/class_0080_seed1_a_photo_of_a_black_grouse.png,4.3170,6.1226
full,81,a photo of a ptarmigan,0,0.0,0.0,generated/full/class_0081_seed0_a_photo_of_a_ptarmigan.png,4.3462,6.1226
full,81,a photo of a ptarmigan,1,0.0,0.0,generated/full/class_0081_seed1_a_photo_of_a_ptarmigan.png,4.3144,6.1226
full,82,a photo of a ruffed grouse,0,0.0,0.0,generated/full/class_0082_seed0_a_photo_of_a_ruffed_grouse.png,4.3068,6.1226
full,82,a photo of a ruffed grouse,1,0.0,0.0,generated/full/class_0082_seed1_a_photo_of_a_ruffed_grouse.png,4.3183,6.1226
full,83,a photo of a prairie chicken,0,0.0,0.0,generated/full/class_0083_seed0_a_photo_of_a_prairie_chicken.png,4.3647,6.1226
full,83,a photo of a prairie chicken,1,0.0,0.0,generated/full/class_0083_seed1_a_photo_of_a_prairie_chicken.png,4.3254,6.1226
full,84,a photo of a peacock,0,0.0,0.0,generated/full/class_0084_seed0_a_photo_of_a_peacock.png,4.3128,6.1226
full,84,a photo of a peacock,1,0.0,0.0,generated/full/class_0084_seed1_a_photo_of_a_peacock.png,4.3108,6.1226
full,85,a photo of a quail,0,0.0,0.0,generated/full/class_0085_seed0_a_photo_of_a_quail.png,4.3531,6.1226
full,85,a photo of a quail,1,0.0,0.0,generated/full/class_0085_seed1_a_photo_of_a_quail.png,4.3280,6.1226
full,86,a photo of a partridge,0,0.0,0.0,generated/full/class_0086_seed0_a_photo_of_a_partridge.png,4.3181,6.1226
full,86,a photo of a partridge,1,0.0,0.0,generated/full/class_0086_seed1_a_photo_of_a_partridge.png,4.3030,6.1226
full,87,a photo of a African grey,0,0.0,0.0,generated/full/class_0087_seed0_a_photo_of_a_African_grey.png,4.3077,6.1226
full,87,a photo of a African grey,1,0.0,0.0,generated/full/class_0087_seed1_a_photo_of_a_African_grey.png,4.3156,6.1226
full,88,a photo of a macaw,0,0.0,0.0,generated/full/class_0088_seed0_a_photo_of_a_macaw.png,4.3057,6.1226
full,88,a photo of a macaw,1,0.0,0.0,generated/full/class_0088_seed1_a_photo_of_a_macaw.png,4.3077,6.1226
full,89,a photo of a sulphur-crested cockatoo,0,0.0,0.0,generated/full/class_0089_seed0_a_photo_of_a_sulphur-crested_cockatoo.png,4.3071,6.1226
full,89,a photo of a sulphur-crested cockatoo,1,0.0,0.0,generated/full/class_0089_seed1_a_photo_of_a_sulphur-crested_cockatoo.png,4.3059,6.1226
full,90,a photo of a lorikeet,0,0.0,0.0,generated/full/class_0090_seed0_a_photo_of_a_lorikeet.png,4.3050,6.1226
full,90,a photo of a lorikeet,1,0.0,0.0,generated/full/class_0090_seed1_a_photo_of_a_lorikeet.png,4.3084,6.1226
full,91,a photo of a coucal,0,0.0,0.0,generated/full/class_0091_seed0_a_photo_of_a_coucal.png,4.3044,6.1226
full,91,a photo of a coucal,1,0.0,0.0,generated/full/class_0091_seed1_a_photo_of_a_coucal.png,4.3161,6.1226
full,92,a photo of a bee eater,0,0.0,0.0,generated/full/class_0092_seed0_a_photo_of_a_bee_eater.png,4.3016,6.1226
full,92,a photo of a bee eater,1,0.0,0.0,generated/full/class_0092_seed1_a_photo_of_a_bee_eater.png,4.3174,6.1226
full,93,a photo of a hornbill,0,0.0,0.0,generated/full/class_0093_seed0_a_photo_of_a_hornbill.png,4.3166,6.1226
full,93,a photo of a hornbill,1,0.0,0.0,generated/full/class_0093_seed1_a_photo_of_a_hornbill.png,4.3180,6.1226
full,94,a photo of a hummingbird,0,0.0,0.0,generated/full/class_0094_seed0_a_photo_of_a_hummingbird.png,4.3060,6.1226
full,94,a photo of a hummingbird,1,0.0,0.0,generated/full/class_0094_seed1_a_photo_of_a_hummingbird.png,4.3128,6.1226
full,95,a photo of a jacamar,0,0.0,0.0,generated/full/class_0095_seed0_a_photo_of_a_jacamar.png,4.3055,6.1226
full,95,a photo of a jacamar,1,0.0,0.0,generated/full/class_0095_seed1_a_photo_of_a_jacamar.png,4.3127,6.1226
full,96,a photo of a toucan,0,0.0,0.0,generated/full/class_0096_seed0_a_photo_of_a_toucan.png,4.3150,6.1226
full,96,a photo of a toucan,1,0.0,0.0,generated/full/class_0096_seed1_a_photo_of_a_toucan.png,4.3097,6.1226
full,97,a photo of a drake,0,0.0,0.0,generated/full/class_0097_seed0_a_photo_of_a_drake.png,4.3073,6.1226
full,97,a photo of a drake,1,0.0,0.0,generated/full/class_0097_seed1_a_photo_of_a_drake.png,4.3132,6.1226
full,98,a photo of a red-breasted merganser,0,0.0,0.0,generated/full/class_0098_seed0_a_photo_of_a_red-breasted_merganser.png,4.3070,6.1226
full,98,a photo of a red-breasted merganser,1,0.0,0.0,generated/full/class_0098_seed1_a_photo_of_a_red-breasted_merganser.png,4.3162,6.1226
full,99,a photo of a goose,0,0.0,0.0,generated/full/class_0099_seed0_a_photo_of_a_goose.png,4.3037,6.1226
full,99,a photo of a goose,1,0.0,0.0,generated/full/class_0099_seed1_a_photo_of_a_goose.png,4.3021,6.1226
full,100,a photo of a black swan,0,0.0,0.0,generated/full/class_0100_seed0_a_photo_of_a_black_swan.png,4.3024,6.1226
full,100,a photo of a black swan,1,0.0,0.0,generated/full/class_0100_seed1_a_photo_of_a_black_swan.png,4.3016,6.1226
full,101,a photo of a tusker,0,0.0,0.0,generated/full/class_0101_seed0_a_photo_of_a_tusker.png,4.3034,6.1226
full,101,a photo of a tusker,1,0.0,0.0,generated/full/class_0101_seed1_a_photo_of_a_tusker.png,4.3045,6.1226
full,102,a photo of a echidna,0,0.0,0.0,generated/full/class_0102_seed0_a_photo_of_a_echidna.png,4.3033,6.1226
full,102,a photo of a echidna,1,0.0,0.0,generated/full/class_0102_seed1_a_photo_of_a_echidna.png,4.3019,6.1226
full,103,a photo of a platypus,0,0.0,0.0,generated/full/class_0103_seed0_a_photo_of_a_platypus.png,4.3006,6.1226
full,103,a photo of a platypus,1,0.0,0.0,generated/full/class_0103_seed1_a_photo_of_a_platypus.png,4.3106,6.1226
full,104,a photo of a wallaby,0,0.0,0.0,generated/full/class_0104_seed0_a_photo_of_a_wallaby.png,4.3335,6.1226
full,104,a photo of a wallaby,1,0.0,0.0,generated/full/class_0104_seed1_a_photo_of_a_wallaby.png,4.3684,6.1226
full,105,a photo of a koala,0,0.0,0.0,generated/full/class_0105_seed0_a_photo_of_a_koala.png,4.4221,6.1226
full,105,a photo of a koala,1,0.0,0.0,generated/full/class_0105_seed1_a_photo_of_a_koala.png,4.3584,6.1226
full,106,a photo of a wombat,0,0.0,0.0,generated/full/class_0106_seed0_a_photo_of_a_wombat.png,4.4469,6.1226
full,106,a photo of a wombat,1,0.0,0.0,generated/full/class_0106_seed1_a_photo_of_a_wombat.png,4.3121,6.1226
